Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-03 09:20:24,false,"Eugene Running","2.00","207","00:19:20","157","195","165","174","9:39","8:35","--","13","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.72","3","0.0","00:19:19","00:19:20","434","448"
Running,2021-10-06 09:02:17,false,"Eugene Running","1.03","98","00:09:54.1","145","153","167","173","9:35","8:56","--","--","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:17.75","2","0.0","00:09:53.7","00:09:54.1","442","450"
Running,2021-10-09 09:12:46,false,"Eugene Running","2.01","239","00:20:01","174","192","165","177","9:58","8:30","7","20","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.03","3","0.0","00:20:00","00:20:01","455","471"
Running,2021-10-12 07:59:57,false,"Eugene Running","2.01","228","00:20:58","156","186","166","176","10:26","9:06","108","115","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.54","3","0.0","00:20:57","00:20:58","456","516"
Running,2021-10-15 17:24:18,false,"Eugene Running","2.03","222","00:18:46","171","189","168","176","9:13","8:39","--","7","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.37","3","0.0","00:18:45","00:18:46","437","448"
Running,2021-10-17 10:57:14,false,"Eugene Running","2.00","202","00:18:23","160","192","165","182","9:11","8:32","--","7","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.05","3","0.0","00:18:23","00:18:23","434","448"
Running,2021-10-22 08:34:52,false,"Eugene Running","2.00","244","00:20:27","166","187","163","170","10:13","9:25","--","13","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.07","3","0.0","00:20:26","00:20:30","432","449"
Running,2021-10-25 11:12:32,false,"Eugene Running","1.02","100","00:09:39.8","148","184","165","177","9:29","8:32","7","39","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.03","2","0.0","00:09:39.7","00:09:39.8","407","442"
Running,2021-10-27 08:53:27,false,"Eugene Running","2.00","232","00:20:43","158","186","165","175","10:21","9:35","--","13","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.76","3","0.0","00:20:42","00:20:43","427","440"
Running,2021-10-30 09:27:50,false,"Eugene Running","2.00","246","00:21:12","163","185","162","169","10:34","9:45","--","--","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.38","3","0.0","00:21:11","00:21:12","432","440"
Running,2021-11-02 08:45:09,false,"10k Week 1 day 1","2.00","244","00:21:23","165","190","162","169","10:40","9:51","--","13","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.26","3","0.0","00:21:23","00:21:23","417","439"
Running,2021-11-04 14:12:31,false,"10k Week 1 day 2","2.00","229","00:20:50","154","183","163","172","10:24","9:20","49","98","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.17","3","0.0","00:20:49","00:20:50","354","451"
Running,2021-11-07 09:18:26,false,"10k Week 1 day 3","2.01","237","00:21:21","160","183","164","170","10:37","9:25","--","7","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.36","3","0.0","00:21:20","00:21:21","425","439"
Running,2021-11-09 08:55:53,false,"10k week 2 day 1","2.01","231","00:21:04","156","185","163","173","10:29","9:27","7","36","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.24","3","0.0","00:21:03","00:21:04","405","442"
Running,2021-11-11 09:36:50,false,"10k week 2 day 2","2.05","237","00:21:03","158","186","165","173","10:17","9:13","23","23","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:28.33","3","0.0","00:21:03","00:21:03","417","444"
Running,2021-11-14 08:50:00,false,"10k week 2 day 3","2.55","289","00:26:26","157","187","165","173","10:22","9:08","7","7","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:37.42","3","0.0","00:26:25","00:26:26","428","446"
Running,2021-11-16 17:05:20,false,"10k week 3 day 1","2.59","302","00:27:28","160","180","163","172","10:36","9:24","--","7","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:03.70","3","0.0","00:27:27","00:27:28","428","440"
Running,2021-11-18 09:19:41,false,"10k week 3 day 2","2.06","238","00:20:54","165","185","164","171","10:09","9:15","7","7","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:30.52","3","0.0","00:20:54","00:20:54","433","446"
Running,2021-11-21 07:21:45,false,"10k week 3 day 3 Failed :(","2.00","235","00:22:10","157","182","164","173","11:04","9:49","52","56","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.97","3","0.0","00:22:09","00:22:10","4,221","4,256"
Running,2021-11-23 10:05:29,false,"10k week 3 day 1 retry","2.57","306","00:26:43","168","187","166","174","10:24","8:56","--","13","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:46.54","3","0.0","00:26:43","00:26:43","418","436"
Running,2021-11-25 13:30:19,false,"10k week 3 day 2 retry","2.17","224","00:21:38","156","175","167","173","9:58","8:49","7","7","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:34.95","3","0.0","00:21:37","00:21:38","111","123"
Running,2021-11-28 11:24:36,false,"10k week 3 day 3 retry","3.04","384","00:32:21","171","188","162","171","10:39","9:11","131","141","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:22.50","4","0.0","00:32:21","00:32:21","378","473"
Running,2021-11-30 09:34:36,false,"10k week 4 day 1","2.58","319","00:27:27","169","185","162","170","10:37","9:22","56","59","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:01.28","3","0.0","00:27:25","00:27:27","504","565"
Running,2021-12-02 09:07:36,false,"10k week 4 day 2","2.04","238","00:21:32","156","179","162","168","10:33","9:41","--","20","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:25.86","3","0.0","00:21:31","00:21:32","413","437"
Running,2021-12-05 09:43:53,false,"10k week 4 day 3","3.55","438","00:40:19","161","180","162","172","11:21","9:59","7","7","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:01.28","4","0.0","00:40:18","00:40:19","426","441"
Running,2021-12-07 10:39:56,false,"10k week 5 day 1","2.55","308","00:27:31","164","187","164","172","10:47","9:27","--","--","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:46.58","3","0.0","00:27:30","00:27:31","430","445"
Running,2021-12-09 11:39:10,false,"10k week 5 day 2","2.02","237","00:22:24","152","171","165","172","11:06","10:01","7","7","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.13","3","0.0","00:22:23","00:22:24","430","439"
Running,2021-12-12 14:27:28,false,"10k week 5 day 3","4.05","511","00:46:09","166","193","165","183","11:24","8:21","374","400","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:21.42","5","0.0","00:46:07","00:46:09","303","451"
Running,2021-12-14 14:27:53,false,"10k week 6 day 1","3.05","367","00:34:53","159","176","166","174","11:26","9:37","7","36","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:27.03","4","0.0","00:34:52","00:34:53","379","409"
Running,2021-12-16 14:22:15,false,"10k week 6 day 2","2.03","235","00:20:38","163","187","170","188","10:08","7:35","7","30","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.80","3","0.0","00:20:37","00:20:38","374","406"
Running,2021-12-19 11:36:37,false,"10k week 6 day 3","4.23","542","00:50:48","165","182","166","177","12:00","10:27","574","502","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:34.42","5","0.0","00:50:47","00:50:48","406","509"
Running,2021-12-21 11:26:04,false,"10k week 7 day 1","3.03","361","00:32:03","162","181","168","175","10:35","9:29","7","7","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:15.63","4","0.0","00:32:03","00:32:03","429","443"
Running,2021-12-23 05:23:05,false,"10k week 7 day 2","2.02","225","00:19:48","165","179","168","175","9:47","9:22","--","13","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:17.01","3","0.0","00:19:47","00:20:35","383","396"
Running,2022-01-09 15:34:21,false,"Post-Covid test run","1.01","116","00:10:37","157","189","165","169","10:28","9:41","--","7","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.95","2","0.0","00:10:37","00:10:37","412","435"
Running,2022-01-10 11:05:08,false,"LTP 1","1.49","182","00:17:02","152","188","157","172","11:26","9:27","--","13","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:26.82","2","0.0","00:17:02","00:17:02","459","475"
Running,2022-01-11 09:58:07,false,"Eugene - LTP 1","1.66","194","00:18:42","154","180","160","172","11:18","9:41","--","23","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.21","17","0.0","00:18:40","00:18:42","381","394"
Running,2022-01-13 07:45:28,false,"Eugene - LTP 2","2.04","245","00:23:21","158","178","159","171","11:27","9:04","10","30","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.36","21","0.0","00:23:20","00:23:21","442","459"
Running,2022-01-14 19:30:14,false,"Eugene - LTP 2","2.00","245","00:23:23","162","184","157","170","11:42","9:31","7","13","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.85","21","0.0","00:23:17","00:23:23","429","449"
Running,2022-01-16 11:18:39,false,"Eugene - LTP 3","2.56","322","00:28:22","166","190","158","175","11:06","9:06","--","7","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.04","21","0.0","00:28:21","00:28:22","415","430"
Running,2022-01-17 10:36:51,false,"Eugene - LTP 5","2.40","296","00:28:03","157","180","156","170","11:41","10:05","7","20","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.69","17","0.0","00:27:59","00:28:03","400","424"
Running,2022-01-18 10:27:39,false,"Eugene - LTP 6","1.65","197","00:18:41","157","172","155","171","11:21","9:49","7","30","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.32","17","0.0","00:18:40","00:18:41","377","409"
Running,2022-01-20 10:05:55,false,"Eugene - shins 1","1.60","198","00:18:02","155","178","157","178","11:18","9:22","39","43","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.77","7","0.0","00:18:02","00:18:02","372","436"
Running,2022-01-21 09:07:25,false,"Eugene - 8x(3 30)","2.30","283","00:28:02","154","171","157","170","12:11","10:20","30","49","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.59","17","0.0","00:27:59","00:28:02","362","406"
Running,2022-01-22 11:20:13,false,"Eugene - 2x10","2.61","321","00:30:02","156","183","154","198","11:30","5:59","72","82","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","5","0.0","00:30:01","00:30:08","385","442"
Running,2022-01-24 07:38:02,false,"Eugene - HM 1","2.39","282","00:27:03","149","178","160","183","11:19","8:30","30","72","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.83","14","0.0","00:27:00","00:27:03","395","486"
Running,2022-01-25 09:55:34,false,"Eugene - 4x4","1.76","231","00:21:21","--","--","154","220","12:07","3:14","--","13","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.32","17","0.0","00:21:18","00:21:22","426","444"
Running,2022-01-27 10:52:12,false,"Eugene - 2,1,walk","3.44","410","00:36:06","162","193","158","223","10:30","8:23","7","13","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.63","33","0.0","00:35:18","00:36:06","389","411"
Running,2022-01-30 10:34:37,false,"Eugene - 6 1","3.18","375","00:35:01","155","180","160","173","11:01","9:35","13","30","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.12","11","0.0","00:35:01","00:35:01","405","444"
Running,2022-01-31 17:49:15,false,"Eugene - 5,3,1","2.43","267","00:25:05","155","176","164","177","10:21","8:38","--","13","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.27","18","0.0","00:25:02","00:25:05","446","458"
Running,2022-02-01 15:01:31,false,"Eugene - 5,5","2.73","315","00:32:19","150","177","148","192","11:50","6:10","279","292","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.95","26","0.0","00:32:14","00:32:19","335","430"
Running,2022-02-03 09:04:33,false,"Eugene - 1122332211","2.45","299","00:25:43","160","190","161","184","10:30","8:21","13","13","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.40","18","0.0","00:25:41","00:25:43","396","415"
Running,2022-02-04 18:17:37,false,"Eugene - 3x6","1.57","185","00:19:32","144","156","158","172","12:25","10:53","--","26","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.50","7","0.0","00:19:32","00:19:32","412","438"
